context,question,answer
"Hiến pháp
Nhà nước bảo đảm và phát huy quyền làm chủ của Nhân dân; công nhận, tôn trọng, bảo vệ và bảo đảm quyền con người, quyền công dân; thực hiện mục tiêu dân giàu, nước mạnh, dân chủ, công bằng, văn minh, mọi người có cuộc sống ấm no, tự do, hạnh phúc, có điều kiện phát triển toàn diện.","Nếu Nhà nước không thực hiện mục tiêu dân giàu, nước mạnh, dân chủ, công bằng, văn minh thì vi phạm Hiến pháp đúng hay sai?",Đúng
"Luật Đất đai
Bãi bỏ một số điều của các luật, nghị quyết của Quốc hội có liên quan đến đất đai
1. Bãi bỏ một số điều của các luật có liên quan đến đất đai như sau:
a) Bãi bỏ khoản 3 Điều 36 và khoản 2 Điều 86 của Luật Quản lý, sử dụng tài sản công số 15/2017/QH14 đã được sửa đổi, bổ sung một số điều theo Luật số 64/2020/QH14 và Luật số 07/2022/QH15;
b) Bãi bỏ khoản 1 Điều 12 của Luật Đường sắt số 06/2017/QH14 đã được sửa đổi, bổ sung một số điều theo Luật số 35/2018/QH14 và Luật số 16/2023/QH15.
2. Bãi bỏ Nghị quyết số 132/2020/QH14 ngày 17 tháng 11 năm 2020 của Quốc hội thí điểm một số chính sách để tháo gỡ vướng mắc, tồn đọng trong quản lý, sử dụng đất quốc phòng, an ninh kết hợp với hoạt động lao động sản xuất, xây dựng kinh tế.",Luật Đường sắt số 06/2017/QH14 đã được sửa đổi theo Luật số 35/2018/QH14 và Luật số 16/2023/QH15 có khoản 1 Điều 12 bị bãi bỏ đúng hay sai?,Sai
Hiến pháp: Khi Chủ tịch nước không làm việc được trong thời gian dài thì Phó Chủ tịch nước giữ quyền Chủ tịch nước. Trong trường hợp khuyết Chủ tịch nước thì Phó Chủ tịch nước giữ quyền Chủ tịch nước cho đến khi Quốc hội bầu ra Chủ tịch nước mới.,Trong trường hợp Chủ tịch nước không làm việc được trong thời gian ngắn thì Phó Chủ tịch nước giữ quyền Chủ tịch nước đúng hay sai?,Sai
"Luật Nhà ở: Các trường hợp tổ chức, cá nhân nước ngoài không được cấp Giấy chứng nhận đối với nhà ở; quy định về bán/tặng cho đối tượng được sở hữu; xử lý tài sản thừa kế.",Đối tượng được thừa kế nhà ở có thể để lại nhà cho người không thuộc trường hợp được sở hữu nhà ở mà không cần thỏa thuận với người được sở hữu đúng hay sai?,Sai
"Bộ luật dân sự
Các phương thức bảo vệ quyền dân sự
Khi quyền dân sự của cá nhân, pháp nhân bị xâm phạm thì chủ thể đó có quyền tự bảo vệ theo quy định của Bộ luật này, luật khác có liên quan hoặc yêu cầu cơ quan, tổ chức có thẩm quyền:
1. Công nhận, tôn trọng, bảo vệ và bảo đảm quyền dân sự của mình;
2. Buộc chấm dứt hành vi xâm phạm;
3. Buộc xin lỗi, cải chính công khai;
4. Buộc thực hiện nghĩa vụ;
5. Buộc bồi thường thiệt hại;
6. Hủy quyết định cá biệt trái pháp luật của cơ quan, tổ chức, người có thẩm quyền;
7. Yêu cầu khác theo quy định của luật.",Bộ luật dân sự quy định bao nhiêu phương thức bảo vệ quyền dân sự? đúng hay sai?,Đúng
"Bộ luật dân sự: Tài sản bị tịch thu khi chủ sở hữu do phạm tội, vi phạm hành chính mà bị tịch thu, sung quỹ nhà nước thì quyền sở hữu đối với tài sản đó chấm dứt kể từ thời điểm bản án, quyết định của Tòa án, cơ quan nhà nước có thẩm quyền khác có hiệu lực pháp luật.",Quyền sở hữu đối với tài sản bị tịch thu chấm dứt ngay khi cơ quan nhà nước ra quyết định tịch thu đúng hay sai?,Sai
"Luật Khám bệnh, chữa bệnh; Điều 2, Điều 3, Điều 4","Chính phủ quy định chi tiết Điều này, trong đó bao gồm việc xác định danh sách các cơ sở khám bệnh, chữa bệnh nhân đạo đúng hay sai?",Sai
"Bộ luật dân sự: Nghĩa vụ của bên mượn tài sản 1. Giữ gìn, bảo quản tài sản mượn, không được tự ý thay đổi tình trạng của tài sản; nếu tài sản bị hư hỏng thông thường thì phải sửa chữa. 2. Không được cho người khác mượn lại, nếu không có sự đồng ý của bên cho mượn. 3. Trả lại tài sản mượn đúng thời hạn; nếu không có thoả thuận về thời hạn trả lại tài sản thì bên mượn phải trả lại tài sản ngay sau khi mục đích mượn đã đạt được. 4. Bồi thường thiệt hại, nếu làm mất, hư hỏng tài sản mượn. 5. Bên mượn tài sản phải chịu rủi ro đối với tài sản mượn trong thời gian chậm trả.","Theo Bộ luật dân sự, nếu không có thoả thuận về thời hạn trả lại tài sản, bên mượn phải trả lại tài sản ngay sau khi mục đích mượn đã đạt được. đúng hay sai?",Đúng
"Luật Trọng tài thương mại: Tiêu chuẩn Trọng tài viên (Điều 1, 2, 3)",Người đang là Thẩm phán hoặc bị cáo có thể tham gia trọng tài thương mại đúng hay sai?,Sai
Luật Nhà ở - Quyền của Ban quản trị nhà chung cư (Điều 106),Ban quản trị nhà chung cư có quyền yêu cầu chủ đầu tư bàn giao kinh phí bảo trì sau khi được thành lập và có văn bản đề nghị đúng hay sai?,Đúng
