context,question,choices,answer
"Luật Tiếp cận thông tin
Thông tin công dân được tiếp cận
Công dân được tiếp cận thông tin của cơ quan nhà nước, trừ thông tin không được tiếp cận quy định tại Điều 6 của Luật này; được tiếp cận có điều kiện đối với thông tin quy định tại Điều 7 của Luật này.","Theo Luật Tiếp cận thông tin, công dân có quyền tiếp cận thông tin của cơ quan nhà nước như thế nào?","{'A': 'Tiếp cận tất cả thông tin', 'B': 'Tiếp cận thông tin trừ trường hợp quy định tại Điều 6', 'C': 'Tiếp cận thông tin trừ trường hợp quy định tại Điều 7', 'D': 'Không được tiếp cận thông tin'}",B
"Luật Tiếp cận thông tin
Thông tin công dân được tiếp cận
Công dân được tiếp cận thông tin của cơ quan nhà nước, trừ thông tin không được tiếp cận quy định tại Điều 6 của Luật này; được tiếp cận có điều kiện đối với thông tin quy định tại Điều 7 của Luật này.",Điều luật nào quy định các trường hợp thông tin không được công dân tiếp cận?,"{'A': 'Điều 5', 'B': 'Điều 6', 'C': 'Điều 7', 'D': 'Điều 8'}",B
"Luật Tiếp cận thông tin
Thông tin công dân được tiếp cận
Công dân được tiếp cận thông tin của cơ quan nhà nước, trừ thông tin không được tiếp cận quy định tại Điều 6 của Luật này; được tiếp cận có điều kiện đối với thông tin quy định tại Điều 7 của Luật này.",Thông tin nào được công dân tiếp cận có điều kiện theo Luật Tiếp cận thông tin?,"{'A': 'Thông tin quy định tại Điều 6', 'B': 'Thông tin quy định tại Điều 7', 'C': 'Thông tin quy định tại Điều 5', 'D': 'Thông tin quy định tại Điều 8'}",B
"Luật Tiếp cận thông tin
Thông tin công dân được tiếp cận
Công dân được tiếp cận thông tin của cơ quan nhà nước, trừ thông tin không được tiếp cận quy định tại Điều 6 của Luật này; được tiếp cận có điều kiện đối với thông tin quy định tại Điều 7 của Luật này.","Nếu một công dân yêu cầu tiếp cận thông tin liên quan đến an ninh quốc gia, thì cơ quan nhà nước sẽ xử lý như thế nào?","{'A': 'Tự động từ chối yêu cầu', 'B': 'Tiếp cận không điều kiện', 'C': 'Tiếp cận có điều kiện theo quy định', 'D': 'Yêu cầu công dân cung cấp bằng chứng'}",C
"Luật Tiếp cận thông tin
Thông tin công dân được tiếp cận
Công dân được tiếp cận thông tin của cơ quan nhà nước, trừ thông tin không được tiếp cận quy định tại Điều 6 của Luật này; được tiếp cận có điều kiện đối với thông tin quy định tại Điều 7 của Luật này.",Trong trường hợp nào công dân không được tiếp cận thông tin theo quy định của Luật Tiếp cận thông tin?,"{'A': 'Khi thông tin thuộc sở hữu tư nhân', 'B': 'Khi thông tin liên quan đến bí mật nhà nước', 'C': 'Khi thông tin được yêu cầu bởi tổ chức phi chính phủ', 'D': 'Khi thông tin liên quan đến hoạt động kinh doanh'}",B
"Bộ luật dân sự: Sau khi kết thúc thời hạn thực hiện công việc theo hợp đồng dịch vụ mà công việc chưa hoàn thành và bên cung ứng dịch vụ vẫn tiếp tục thực hiện công việc, bên sử dụng dịch vụ biết nhưng không phản đối thì hợp đồng dịch vụ đương nhiên được tiếp tục thực hiện theo nội dung đã thoả thuận cho đến khi công việc được hoàn thành.","Theo quy định của Bộ luật dân sự, khi hợp đồng dịch vụ hết hạn nhưng công việc chưa hoàn thành và bên cung ứng dịch vụ tiếp tục thực hiện công việc, bên sử dụng dịch vụ biết nhưng không phản đối thì điều gì xảy ra?","{'A': 'Hợp đồng dịch vụ chấm dứt hiệu lực', 'B': 'Hợp đồng dịch vụ được gia hạn tự động', 'C': 'Hợp đồng dịch vụ phải được ký lại', 'D': 'Bên cung ứng dịch vụ bị coi là vi phạm hợp đồng'}",B
"Bộ luật dân sự: Sau khi kết thúc thời hạn thực hiện công việc theo hợp đồng dịch vụ mà công việc chưa hoàn thành và bên cung ứng dịch vụ vẫn tiếp tục thực hiện công việc, bên sử dụng dịch vụ biết nhưng không phản đối thì hợp đồng dịch vụ đương nhiên được tiếp tục thực hiện theo nội dung đã thoả thuận cho đến khi công việc được hoàn thành.","Trong trường hợp nào sau đây, hợp đồng dịch vụ được coi là tiếp tục hiệu lực theo quy định của Bộ luật dân sự?","{'A': 'Khi bên sử dụng dịch vụ đồng ý bằng văn bản', 'B': 'Khi bên cung ứng dịch vụ tự ý gia hạn', 'C': 'Khi bên sử dụng dịch vụ biết nhưng không phản đối', 'D': 'Khi cả hai bên ký thêm phụ lục hợp đồng'}",C
"Bộ luật dân sự: Sau khi kết thúc thời hạn thực hiện công việc theo hợp đồng dịch vụ mà công việc chưa hoàn thành và bên cung ứng dịch vụ vẫn tiếp tục thực hiện công việc, bên sử dụng dịch vụ biết nhưng không phản đối thì hợp đồng dịch vụ đương nhiên được tiếp tục thực hiện theo nội dung đã thoả thuận cho đến khi công việc được hoàn thành.",Câu nào sau đây là SAI khi nói về hiệu lực của hợp đồng dịch vụ sau khi thời hạn kết thúc?,"{'A': 'Hợp đồng được tiếp tục thực hiện cho đến khi công việc hoàn thành', 'B': 'Bên sử dụng dịch vụ có nghĩa vụ thanh toán phí theo thỏa thuận', 'C': 'Hợp đồng tự động chấm dứt nếu không có sự đồng ý', 'D': 'Nội dung hợp đồng được giữ nguyên'}",C
"Bộ luật dân sự: Sau khi kết thúc thời hạn thực hiện công việc theo hợp đồng dịch vụ mà công việc chưa hoàn thành và bên cung ứng dịch vụ vẫn tiếp tục thực hiện công việc, bên sử dụng dịch vụ biết nhưng không phản đối thì hợp đồng dịch vụ đương nhiên được tiếp tục thực hiện theo nội dung đã thoả thuận cho đến khi công việc được hoàn thành.","Theo quy định, thời hạn của hợp đồng dịch vụ tiếp tục được xác định như thế nào?","{'A': 'Theo thời hạn ban đầu của hợp đồng', 'B': 'Theo thời gian cần thiết để hoàn thành công việc', 'C': 'Theo thời hạn do bên cung ứng dịch vụ đề xuất', 'D': 'Theo thời hạn do cơ quan nhà nước quy định'}",B
"Bộ luật dân sự: Sau khi kết thúc thời hạn thực hiện công việc theo hợp đồng dịch vụ mà công việc chưa hoàn thành và bên cung ứng dịch vụ vẫn tiếp tục thực hiện công việc, bên sử dụng dịch vụ biết nhưng không phản đối thì hợp đồng dịch vụ đương nhiên được tiếp tục thực hiện theo nội dung đã thoả thuận cho đến khi công việc được hoàn thành.","Trong trường hợp nào sau đây, việc tiếp tục thực hiện hợp đồng dịch vụ không được coi là hợp đồng mới?","{'A': 'Khi hai bên ký kết hợp đồng bổ sung', 'B': 'Khi bên sử dụng dịch vụ im lặng sau khi biết việc tiếp tục thực hiện', 'C': 'Khi có sự thỏa thuận bằng văn bản', 'D': 'Khi có sự công chứng hợp đồng'}",B
"Luật Đất đai: Việc tách nội dung bồi thường, hỗ trợ, tái định cư thành dự án độc lập và việc thu hồi đất, bồi thường, hỗ trợ, tái định cư đối với dự án đầu tư. Trường hợp dự án bồi thường, hỗ trợ, tái định cư được tách ra thành dự án độc lập theo quy định của pháp luật về đầu tư công thì việc thu hồi đất, bồi thường, hỗ trợ, tái định cư được thực hiện theo quy định của Luật này.","Theo Luật Đất đai, điều kiện nào dưới đây là cơ sở để tách dự án bồi thường, hỗ trợ, tái định cư thành dự án độc lập?","{'A': 'Dự án phải được phê duyệt theo quy định của Luật Đầu tư', 'B': 'Dự án phải có quy mô lớn hơn 50 ha', 'C': 'Dự án phải được thực hiện theo quy định của Luật Đầu tư công', 'D': 'Dự án phải có sự đồng ý của người dân bị ảnh hưởng'}",C
"Luật Đất đai: Việc tách nội dung bồi thường, hỗ trợ, tái định cư thành dự án độc lập và việc thu hồi đất, bồi thường, hỗ trợ, tái định cư đối với dự án đầu tư. Trường hợp dự án bồi thường, hỗ trợ, tái định cư được tách ra thành dự án độc lập theo quy định của pháp luật về đầu tư công thì việc thu hồi đất, bồi thường, hỗ trợ, tái định cư được thực hiện theo quy định của Luật này.","Khi dự án bồi thường, hỗ trợ, tái định cư được tách thành dự án độc lập, quy trình thu hồi đất được thực hiện theo quy định của pháp luật nào?","{'A': 'Luật Đầu tư', 'B': 'Luật Xây dựng', 'C': 'Luật Đất đai', 'D': 'Luật Tài chính'}",C
"Luật Đất đai: Việc tách nội dung bồi thường, hỗ trợ, tái định cư thành dự án độc lập và việc thu hồi đất, bồi thường, hỗ trợ, tái định cư đối với dự án đầu tư. Trường hợp dự án bồi thường, hỗ trợ, tái định cư được tách ra thành dự án độc lập theo quy định của pháp luật về đầu tư công thì việc thu hồi đất, bồi thường, hỗ trợ, tái định cư được thực hiện theo quy định của Luật này.","Trong trường hợp nào dưới đây, việc bồi thường, hỗ trợ, tái định cư được thực hiện theo quy định riêng biệt với dự án đầu tư chính?","{'A': 'Khi dự án không liên quan đến đất đai', 'B': 'Khi dự án được tách thành dự án độc lập theo quy định pháp luật đầu tư công', 'C': 'Khi dự án được phê duyệt bởi cấp tỉnh', 'D': 'Khi dự án có vốn đầu tư nước ngoài'}",B
"Luật Đất đai: Việc tách nội dung bồi thường, hỗ trợ, tái định cư thành dự án độc lập và việc thu hồi đất, bồi thường, hỗ trợ, tái định cư đối với dự án đầu tư. Trường hợp dự án bồi thường, hỗ trợ, tái định cư được tách ra thành dự án độc lập theo quy định của pháp luật về đầu tư công thì việc thu hồi đất, bồi thường, hỗ trợ, tái định cư được thực hiện theo quy định của Luật này.","Theo quy định, trách nhiệm thực hiện thu hồi đất, bồi thường, hỗ trợ, tái định cư thuộc về cơ quan nào?","{'A': 'Cơ quan quản lý dự án đầu tư', 'B': 'Cơ quan nhà nước có thẩm quyền theo quy định pháp luật', 'C': 'Tổ chức tư vấn độc lập', 'D': 'Cơ quan địa phương nơi có đất bị thu hồi'}",B
